Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Active
Nissan of Hendersonville,https://www.nissanofhendersonville.com/,,,NONE,FAIL,No scripts found (Saved Img),Yes
Nissan of Huntington,https://www.nissanofhuntington.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Nissan of Richmond,https://www.nissanrva.com/,,,STD,PASS,Perfect (Rule of 2),Yes
North Knoxville CDJR,https://www.northknoxcdjr.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Octane Buick GMC of Santa Fe,https://www.octanegmc.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Owen Ford Jarratt,https://www.owenford.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Parks Buick GMC Greenville,https://www.parksbuickgmc.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Parks Buick GMC Kernersville,https://www.parksgmckernersville.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Parks Chevrolet Charlotte,https://www.parkscharlotte.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Parks Chevrolet Huntersville,https://www.parkschevrolethuntersville.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Parks Chevrolet Kernersville,https://www.parkschevy.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Parks Chevrolet Richmond,https://www.parksrichmond.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Parks Chevrolet Spartanburg,https://www.parkschevroletspartanburg.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Parks Ford Hendersonville,https://www.parksfordhendersonville.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Parks Motors,https://www.parksmotors.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Patriot Chevrolet GMC,https://www.patriotchevroletgmc.com/,,,STD,PASS,Perfect (DealerOn Rule of 1),Yes
Paul Miller Auto Outlet,https://www.paulmillerauto.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Paul Miller Ford,https://www.paulmillerford.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Paul Miller Mazda,https://www.paulmillermazda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Peoria Toyota,https://www.peoriatoyota.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Priority Chevrolet Chesapeake,https://www.prioritychevrolet.com/,,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes
Priority Honda Hampton,https://www.priorityhondahampton.com/,,,STD,PASS,Perfect (DealerOn Rule of 1),Yes
Priority Infiniti Greenbrier,https://www.priorityinfiniti.com/,,,STD,PASS,Perfect (DealerOn Rule of 1),Yes
Reggie Jackson Airport Honda,https://www.reggiejacksonairporthonda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Buick GMC Duluth,https://www.rickhendrickbuickgmcatlanta.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Cadillac Norfolk,https://www.rickhendrickcadillacnorfolk.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick CDJRF of North Charleston,https://www.jeephendrick.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet Buick GMC Richmond,https://www.hendrickchevybuickgmcrichmond.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet Charleston,https://www.rickhendrickchevy.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet Duluth,https://www.hendrickatlanta.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet Naples,https://www.rickhendrickchevynaples.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet Norfolk,https://www.rickhendrickchevroletnorfolk.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chevrolet of Buford,https://www.hendrickbuford.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chrysler Dodge Jeep Ram Duluth,https://www.hendrickcdjratlanta.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Chrysler Dodge Jeep Ram Fiat Wilmington,https://www.hendrickjeepwilmington.com/,,,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),Yes
Rick Hendrick City Chevrolet,https://www.citychevrolet.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick DCJR Charleston,https://www.rickhendrickdodge.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Honda,https://www.rickhendrickhonda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Toyota of Fayetteville,https://www.rickhendricktoyota.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rick Hendrick Toyota Sandy Springs,https://www.rickhendricktoyotasandysprings.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Rusty Wallace Kia Alcoa,https://www.rustywallacekiaalcoa.com/,,,STD,WARN,Found 2 (DealerOn expects 1) (Saved Img),Yes
Sands Chrysler Dodge Jeep Ram,https://www.sandschryslerjeepdodge.net/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Secret City Chrysler Dodge Jeep Ram,https://www.secretcitycdjr.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Serra Honda Brighton,https://www.serrahondabrighton.com/,,,STD,PASS,Perfect (Rule of 2),Yes
South Strand Chrysler Dodge Jeep Ram,https://www.southstrandchrysler.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Stevenson Hendrick Honda Wilmington,https://www.stevensonhendrickhonda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
